section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Gv:w02,104,evaluable,076,10,14.3,0.2106,0.7276,-1.59,0.956,-1.29,0.9131,0.2106,0.9181,null
Gv:w03,104,evaluable,076,8,12.15,0.3812,1.2729,-1.42,0.9371,-1.15,0.8821,0.3812,0.8861,null
Gv:w04,104,evaluable,076,10,11.5,0.382,0.4201,-1.56,0.963,-1.25,0.8961,0.382,0.9091,null
Gv:w05,104,evaluable,076,6,12.6,0.3232,0.9685,-1.33,0.9091,-1.11,0.8531,0.4847,0.8242,null
Hr:w00,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w02,104,evaluable,003a,12,12.6,0.1444,1.1216,-2.14,0.993,-2.19,0.993,0.4974,0.5485,null
Hr:w03,104,evaluable,003a,16,14.05,0.207,1.3104,-1.12,0.8681,-1.31,0.9191,0.1619,0.957,null
Hr:w04,104,evaluable,003a,6,13.4,0.6492,1.2091,0.95,0.1768,0.68,0.2517,0.4584,0.6224,null
Hr:w05,104,evaluable,200,7,14.5,0.3998,1.1532,-0.52,0.6733,-1.23,0.8921,0.3998,0.8861,null
Hr:w06,104,evaluable,200,6,12.0,0.4893,1.4756,-0.14,0.5395,-0.91,0.8142,0.5795,0.8741,null
Hr:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w08,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w09,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w10,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w11,104,evaluable,001,7,13.55,0.5262,1.3549,0.43,0.3377,0.02,0.4705,0.3574,0.8222,null
Hr:w12,104,evaluable,001,8,12.95,0.4013,0.9164,-0.35,0.6094,-0.45,0.6593,0.4013,0.9291,null
Hr:w13,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hr:w14,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w00,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w02,104,evaluable,010,6,11.7,0.7209,0.8757,1.54,0.0679,1.44,0.0909,0.6357,0.1708,null
Hv:w03,104,evaluable,200,6,14.5,0.5454,0.8204,0.31,0.3666,0.03,0.4975,0.5454,0.4366,null
Hv:w04,104,evaluable,200,6,11.5,0.4693,0.7111,-0.29,0.5804,-0.1,0.5085,0.4693,0.5514,null
Hv:w05,104,evaluable,002,6,12.2,0.4729,0.9751,-0.68,0.7323,-0.71,0.7592,0.4729,0.7592,null
Hv:w06,104,evaluable,200,6,13.3,0.5871,1.3434,0.55,0.2837,0.31,0.4036,0.5871,0.4216,null
Hv:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w08,104,evaluable,001,7,14.5,0.4923,0.5476,0.16,0.4316,0.4,0.3367,0.3548,0.6394,null
Hv:w09,104,evaluable,001,6,14.5,0.4875,0.754,-0.13,0.5385,0.11,0.4346,0.4295,0.5025,null
Hv:w10,104,evaluable,010,7,12.3,0.3953,0.9462,-1.34,0.9161,-0.83,0.7952,0.3953,0.7912,null
Hv:w11,104,evaluable,010,7,12.7,0.3651,0.7518,-0.79,0.7702,-0.48,0.6593,0.8671,0.045,null
Hv:w12,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w13,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w14,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Hv:w15,104,evaluable,064a,6,12.85,0.6073,0.7412,0.29,0.3866,0.71,0.2318,0.4775,0.4825,null
Ia:w00,104,evaluable,090,7,11.85,0.6194,0.5817,1.15,0.1399,1.35,0.1009,0.6194,0.0779,null
Ia:w01,104,evaluable,011,6,14.5,0.6273,0.5522,0.77,0.2268,1.09,0.1279,0.6273,0.1379,null
Ia:w02,104,evaluable,076,24,13.8,0.1219,0.3075,-1.7,0.972,-0.83,0.7942,0.1219,0.8102,null
Ia:w03,104,evaluable,076,23,13.4,0.1084,0.2883,-1.92,0.987,-1.26,0.9001,0.1084,0.9211,null
Ia:w04,104,evaluable,076,24,12.0,0.1214,0.2826,-1.73,0.968,-0.76,0.7772,0.1214,0.8022,null
Ia:w05,104,evaluable,090,8,11.5,0.1507,0.5124,-2.44,0.999,-2.16,1.0,0.1507,1.0,null
Ia:w06,104,evaluable,076,23,11.95,0.1004,0.4774,-2.13,0.998,-1.78,0.977,0.1004,0.972,null
Ia:w07,104,evaluable,999,6,13.6,0.5022,0.3287,-0.05,0.4885,0.17,0.4026,0.5022,0.3916,null
Ia:w08,104,evaluable,071,8,13.35,0.4322,0.735,-0.19,0.5445,0.16,0.4116,0.4322,0.4166,null
Ia:w09,104,evaluable,071,8,13.65,0.2862,0.5281,-1.45,0.9421,-1.16,0.8791,0.2862,0.8402,null
Ia:w10,104,evaluable,076,17,11.5,0.1559,0.5436,-1.7,0.971,-1.25,0.9151,0.1971,0.6913,null
Ia:w11,104,evaluable,090,9,13.5,0.3001,0.8221,-1.24,0.9031,-1.01,0.8531,0.3001,0.8082,null
Ia:w12,104,evaluable,999,6,13.3,0.4618,0.4132,-0.82,0.7702,-0.44,0.6563,0.4618,0.6603,null
Ia:w13,104,evaluable,071,6,12.9,0.5528,0.2941,0.04,0.4655,0.24,0.3816,0.5528,0.4296,null
Ia:w14,104,evaluable,076,22,14.05,0.1138,0.3965,-1.91,0.983,-1.46,0.9411,0.5175,0.6214,null
Ia:w15,104,evaluable,076,22,12.4,0.0775,0.2515,-2.36,0.999,-1.52,0.96,0.6145,0.3626,null
Ia:w16,104,evaluable,076,23,14.5,0.1345,0.4788,-1.58,0.961,-1.06,0.8521,0.1424,0.7612,null
Ia:w17,104,evaluable,999,6,13.3,0.3504,0.4974,-1.19,0.8811,-0.96,0.8262,0.3504,0.8232,null
Ia:w18,104,evaluable,076,21,14.5,0.1238,0.399,-1.87,0.986,-1.11,0.8711,0.0923,0.979,null
Ia:w19,104,evaluable,090,6,12.75,0.8472,1.5478,2.05,0.028,1.48,0.0979,0.8472,0.0909,null
Ia:w20,104,evaluable,999,7,12.0,0.8707,0.2809,2.99,0.002,3.65,0.001,0.8707,0.001,null
Ia:w21,104,evaluable,999,6,13.0,0.7803,0.4884,1.98,0.038,2.23,0.016,0.7803,0.025,null
Ia:w22,104,evaluable,076,18,12.35,0.14,0.3105,-1.83,0.982,-1.28,0.9201,0.1866,0.6284,null
Ia:w23,104,evaluable,076,20,12.05,0.1742,0.322,-1.25,0.9051,-0.55,0.6733,0.1745,0.4985,null
Ia:w24,104,evaluable,076,23,11.5,0.1643,0.3295,-1.17,0.8931,-0.11,0.5055,0.1123,0.9071,null
Ia:w25,104,evaluable,076,23,13.7,0.1706,0.464,-1.15,0.8831,-0.35,0.6004,0.1933,0.3866,null
