section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Pv:w02,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Pv:w03,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Pv:w04,104,evaluable,200,6,11.5,0.5355,0.8512,0.21,0.3936,0.21,0.4256,0.7879,0.1449,null
Pv:w05,104,evaluable,021e,6,14.5,0.6644,0.9719,0.77,0.2248,0.6,0.2727,0.6644,0.2517,null
Pv:w06,104,evaluable,021e,6,12.75,0.6634,1.0032,0.96,0.1708,0.65,0.2617,0.6634,0.2587,null
Pv:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Pv:w08,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Pv:w09,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Pv:w10,104,evaluable,001,8,14.5,0.4003,0.7079,-0.37,0.6254,-0.06,0.5015,0.4003,0.4955,null
Pv:w11,104,evaluable,010,9,14.5,0.2455,0.9573,-1.46,0.9441,-1.19,0.8901,0.2455,0.8981,null
Pv:w12,104,evaluable,011,6,13.4,0.4973,0.6968,-0.59,0.7083,-0.05,0.4935,0.7636,0.1798,null
Pv:w13,104,evaluable,010,6,13.35,0.3578,0.7586,-1.06,0.8541,-0.89,0.8082,0.7868,0.1668,null
Qr:w00,104,evaluable,003a,7,13.8,0.5876,0.8537,0.1,0.4575,0.05,0.4865,0.5506,0.3586,null
Qr:w01,104,evaluable,003a,18,11.5,0.1829,1.0654,-1.23,0.8981,-1.44,0.9361,0.1829,0.8981,null
Qr:w02,104,evaluable,003a,15,11.5,0.2376,2.091,-0.91,0.7962,-1.14,0.8771,0.2376,0.8651,null
Qr:w03,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w04,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w05,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w06,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w08,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qr:w09,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w00,104,evaluable,600,6,14.15,0.5305,1.4478,-0.33,0.6264,-0.91,0.8092,0.623,0.5135,null
Qv:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w02,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w03,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w04,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w05,104,evaluable,010,6,11.5,0.406,1.6573,-0.76,0.7652,-1.08,0.8571,0.406,0.8472,null
